"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.56157338694461e-18,-4.14021102829434,0.099,0.889,4.21173896281433e-14,"PDK4"
3.21002672149786e-16,-4.83053986400592,0.026,0.694,5.27792593548678e-12,"NR4A1"
7.46129478961999e-16,-2.3894571803208,0.329,0.944,1.22678608930932e-11,"ZFAND5"
5.31698344429024e-13,-2.1913244540623,0.283,0.889,8.74218417910202e-09,"CEBPD"
2.13515278403724e-12,-2.40678363218984,0.164,0.861,3.51061820751403e-08,"USP2"
3.13161953452434e-12,-5.4620895987352,0.013,0.556,5.14900883866493e-08,"ATF3"
1.45305867392615e-10,-6.34982194895949,0.013,0.5,2.38911907166937e-06,"CSRNP1"
2.16711911946471e-10,-3.37502134519646,0.132,0.722,3.56317725622387e-06,"KLF6"
1.16383952383569e-09,-3.57740055118393,0.092,0.667,1.91358494509064e-05,"EGR1"
1.25947190410841e-09,1.65009461718677,0.836,0.556,2.07082370473505e-05,"WFDC2"
6.74230970153516e-09,-3.19254371150693,0.138,0.639,0.000110857056112641,"ZFP36"
7.54349779595301e-09,-2.4535799650538,0.164,0.778,0.000124030190761059,"KLF9"
1.41899127099535e-08,-4.59390400429534,0.026,0.472,0.000233310544777055,"PER1"
3.18498701732968e-08,-3.75469047205759,0.039,0.5,0.000523675565389346,"SGK1"
4.09256014870231e-08,-3.94038459714076,0.033,0.472,0.000672898739649633,"FOSB"
4.11593602119636e-08,-3.90614573132219,0.026,0.444,0.000676742200605105,"ERRFI1"
5.24630758072944e-08,-3.52268970788281,0.039,0.5,0.000862597892423535,"CDKN1A"
5.25741202310553e-08,-4.04298176916005,0.039,0.472,0.000864423684839012,"EPHA2"
5.49145736293277e-08,6.41851102877951,0.349,0,0.000902905419613406,"RNASEK"
1.23732621357608e-07,-4.12974116546115,0.039,0.472,0.0020344117603618,"MAFF"
1.4644380143949e-07,-2.8097484761334,0.151,0.667,0.0024078289832681,"JUNB"
2.37771762082846e-07,-3.22624059725091,0.053,0.5,0.00390944331216616,"TIPARP"
2.55290793098427e-07,-2.17206293864308,0.224,0.75,0.00419749122012433,"ARID5B"
3.04112958141683e-07,1.63291495611884,0.618,0.361,0.00500022525776556,"FOLR1"
3.48623574576902e-07,-2.56292700249549,0.099,0.611,0.00573206881319342,"FOS"
3.91804400029006e-07,-1.3596757505464,0.408,0.861,0.00644204794527691,"EGF"
3.98202575683452e-07,-2.8422414526005,0.099,0.583,0.00654724674938732,"FKBP5"
4.92854373177519e-07,-7.6762721621285,0,0.25,0.00810351160378477,"HBEGF"
4.94005079848033e-07,1.74177839394301,0.605,0.333,0.00812243152286137,"ITM2C"
5.2849909401391e-07,-1.03343339815017,0.638,0.972,0.00868958210377671,"UBC"
6.47633788945233e-07,6.21225309017785,0.309,0,0.0106483947578375,"ATP6V0C"
6.76690244157386e-07,-7.51567497392837,0,0.25,0.0111261409944357,"OVOL1"
1.18920674197391e-06,6.21621321928428,0.309,0,0.0195529372515351,"EEF1G"
2.88727789501686e-06,-2.4216854813037,0.059,0.444,0.0474726231498673,"GSTA2"
4.16847680783617e-06,-1.17930732840798,0.526,0.833,0.0685380956744424,"JUND"
5.33545700086911e-06,2.51614844068376,0.375,0.083,0.0877255840082899,"PPP6R3"
5.40273152695296e-06,-2.68369907731697,0.066,0.472,0.0888317117661606,"TLE1"
6.09143754405246e-06,-2.25873431100334,0.171,0.667,0.100155416099311,"JUN"
6.62611533287929e-06,-2.00395418944105,0.164,0.667,0.108946588303201,"NFKBIA"
7.91936435327221e-06,6.0071102610257,0.263,0,0.130210188696502,"TLE5"
8.26715429326104e-06,2.53012609114583,0.388,0.111,0.135928550889798,"ITGAV"
1.23006798424178e-05,-3.05838477198351,0.066,0.472,0.202247777969034,"RASD1"
1.32345800822639e-05,5.27414408805635,0.217,0,0.217602965712584,"MMP7"
1.35451009582531e-05,-2.13557823195312,0.059,0.444,0.222708549955598,"KLF15"
1.52177479196345e-05,-0.989393130960627,0.48,0.889,0.25021021129463,"ADIRF"
1.70691558523333e-05,-1.51516088340915,0.237,0.75,0.280651060524065,"GLUL"
1.72670285070629e-05,5.9073380196564,0.25,0,0.283904482713128,"MICOS13"
1.73581161312668e-05,-4.4887367619182,0.013,0.278,0.285402145430289,"CXCR4"
1.81488680810153e-05,5.35827687310125,0.217,0,0.298403688988054,"TOMM6"
1.83740053769134e-05,5.91452979626563,0.23,0,0.30210539640721,"MICOS10"
1.92289454195769e-05,-1.33298653498589,0.408,0.889,0.316162320588683,"HIPK2"
2.01736821190888e-05,-6.88378064685493,0,0.194,0.331695681402059,"LIF"
2.02808063700663e-05,-6.75008008337541,0,0.194,0.33345701833663,"LAMA4"
2.04778247932494e-05,-1.72028603744546,0.211,0.694,0.336696395250606,"TCIM"
2.09409473273111e-05,1.02810082376224,0.875,0.556,0.344311055955649,"N4BP2L2"
2.11707681906246e-05,-6.34422048717386,0,0.194,0.348089770590249,"CYTIP"
2.24435428047041e-05,5.13651847239739,0.217,0,0.369016730794945,"PPP1R35"
2.59242018425524e-05,-3.19258807489049,0.086,0.528,0.426245726695247,"BTG2"
2.62260786820404e-05,-1.76587782143952,0.263,0.778,0.431209185690108,"HSPA1A"
2.70869962955406e-05,-3.69829394667941,0.059,0.444,0.445364393091279,"RCAN1"
2.79766220012439e-05,-1.79281941693966,0.23,0.667,0.459991618944453,"GADD45A"
2.92752136986913e-05,-0.717239918067373,0.704,0.972,0.481343063633883,"RPL13A"
3.21287537662425e-05,-1.3763938516274,0.178,0.639,0.52826096942456,"PABPC4"
3.27754335460676e-05,3.78742500027016,0.375,0.056,0.538893678364443,"NME2"
3.31462149171777e-05,5.69102136202916,0.23,0,0.544990065668236,"MRPS24"
3.44111121475257e-05,-1.91204063873578,0.197,0.667,0.565787505929617,"DUSP1"
3.76554316829531e-05,-1.52893968679038,0.322,0.583,0.619130607731115,"VMP1"
5.74628980271614e-05,-2.70008710912946,0.053,0.417,0.944804969362588,"BAG3"
6.07260019698745e-05,5.40565135504118,0.211,0,0.998456924388676,"SEPTIN2"
6.46561878478217e-05,-4.94927395472359,0.007,0.25,1,"TENT5B"
6.55146935629879e-05,-2.97777978140154,0.02,0.306,1,"PIM1"
7.11996838918037e-05,3.10113166795458,0.263,0.056,1,"NUDT8"
7.35333424662091e-05,-0.947337588932957,0.539,0.806,1,"HSPB1"
7.96684331267916e-05,1.73663478536311,0.395,0.167,1,"CTSH"
8.33234821102617e-05,-0.501838207068677,0.888,1,1,"ACTB"
8.5906341544572e-05,5.24657989511152,0.191,0,1,"SEPTIN7"
9.20675072255593e-05,1.18531516854551,0.691,0.444,1,"MECOM"
9.385808436681e-05,4.95539594770828,0.164,0,1,"PRXL2A"
0.000104037513186625,-6.44549625818224,0,0.167,1,"EGR2"
0.000107733351058577,-2.43412643508167,0.118,0.528,1,"FOSL2"
0.000110445182128573,-1.5614080785923,0.145,0.583,1,"PXN"
0.00011188873609822,-0.889747039662297,0.52,0.917,1,"RHOBTB3"
0.000124943984135683,0.903567044452931,0.941,0.806,1,"FXYD2"
0.000125327867232962,-1.39112532330257,0.296,0.778,1,"USP53"
0.000132401274722777,-0.486874196615291,0.73,0.889,1,"SDC4"
0.000138383127301469,-3.04623212273495,0.105,0.5,1,"RNF152"
0.000142656659818907,4.81568298621563,0.171,0,1,"STAMBP"
0.000154836382461906,5.08095784950659,0.171,0,1,"GPCPD1"
0.000178093150254258,-2.47457743694178,0.079,0.444,1,"C1orf115"
0.000195642216373813,1.29507740933475,0.678,0.528,1,"HLA-B"
0.000204000712309781,-2.98001297807505,0.039,0.361,1,"NFIL3"
0.000207782949524323,-0.506268880606078,0.849,0.972,1,"ACTG1"
0.000227092756645492,4.46930593817333,0.138,0,1,"RBIS"
0.000233716956857203,-0.418682973786913,0.842,0.972,1,"CKB"
0.000273929413934025,2.66970439182292,0.276,0.083,1,"C12orf75"
0.000304019416316063,3.75947086882964,0.237,0.028,1,"CHMP4A"
0.000304602363185466,2.80442602796383,0.178,0.028,1,"SLC16A4"
0.00033425477411504,4.34383280535075,0.125,0,1,"CLIC4"
0.000351362596539583,-0.879368114701399,0.553,0.944,1,"ALDH1A1"
0.000354382276191306,-0.456413270468544,0.803,0.917,1,"S100A10"
0.000373670229771021,-3.34794367711098,0.046,0.361,1,"SERTAD1"
0.000380793273166148,-1.21505489059116,0.375,0.778,1,"KRT8"
0.000394461250883008,-2.07968670071999,0.033,0.306,1,"RND3"
0.000405692421777773,-1.38351890609653,0.105,0.472,1,"ATF7IP2"
0.000410424930138024,-2.63529993949877,0.066,0.389,1,"CHTF8"
0.000412933407855529,-0.465942057935799,0.75,0.861,1,"MT2A"
0.000414898017890841,-2.62970628495184,0.026,0.278,1,"NCAPH2"
0.000428696921532049,-1.78844090607191,0.171,0.583,1,"MAP2K3"
