"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.36958460659739e-17,-4.52749028939682,0.023,0.76,3.89607101016743e-13,"HLA-DRB5"
3.56896801421452e-13,-2.5158634597809,0.182,0.88,5.86809720897152e-09,"MT1M"
7.748613876645e-13,-1.32360889061258,0.534,0.987,1.27402709359797e-08,"MT2A"
8.03231929070327e-13,-2.66746828370799,0.17,0.867,1.32067393777743e-08,"FKBP5"
1.56178230162683e-09,-2.21778089741082,0.239,0.88,2.56788246033484e-05,"CEBPB"
1.74981323353609e-09,-2.0241473556932,0.102,0.72,2.87704291858004e-05,"ARRDC2"
1.17349090270802e-08,-6.8934538626887,0,0.213,0.000192945374223252,"RPS4Y1"
3.47614247445635e-08,-5.10586926221744,0.011,0.507,0.000571547345650113,"APOLD1"
4.42905976551842e-08,-1.63434271027697,0.341,0.92,0.000728226006646538,"MT1E"
5.64676644352468e-08,-2.02226998858014,0.159,0.693,0.000928441338644327,"DDIT4"
8.990773837469e-08,-1.45316446152968,0.284,0.867,0.00147826303435665,"TSC22D3"
9.80842971252236e-08,-2.78893726967422,0.114,0.72,0.00161270201333293,"CEBPD"
1.1317504176916e-07,-2.63747001437558,0.091,0.507,0.00186082403676853,"FBXO21"
1.89328878872293e-07,-2.67147790800081,0.114,0.467,0.00311294542641825,"CAVIN2"
1.96999533286315e-07,-2.90604199536112,0.102,0.667,0.0032390663262936,"MT1X"
1.14951853788588e-06,-2.18993320071493,0.08,0.533,0.0189003837999196,"ITPRIP"
1.52554394323191e-06,-0.718039617895388,0.534,0.96,0.0250829935146191,"TMEM204"
1.8508416466458e-06,2.22417209466834,0.614,0.253,0.0304315383541503,"LPAR6"
4.46791280275711e-06,-3.48917196881072,0.011,0.32,0.0734614223029324,"SOCS1"
4.77464515632658e-06,0.992030421341245,0.818,0.733,0.0785047156603216,"SOX18"
5.9229635048046e-06,-1.83893069000093,0.125,0.627,0.0973853659459972,"FAM107A"
7.93808139426662e-06,-1.47707185669221,0.295,0.853,0.130517934284532,"KLF9"
8.75820414077919e-06,3.74413156900355,0.102,0.013,0.144002392482691,"ANK3"
9.93134031548305e-06,0.845109418512791,0.784,0.733,0.163291097467172,"ARGLU1"
4.34294201715352e-05,-3.09063812856083,0.068,0.56,0.714066526460381,"CSRNP1"
5.80054579295681e-05,-1.64909305004912,0.136,0.6,0.953725739277958,"TPM1"
6.0290992579816e-05,6.25400072327907,0.148,0,0.991304499997334,"EEF1G"
7.45433903128181e-05,-0.828156218602599,0.273,0.733,1,"PRX"
9.2507896768838e-05,1.7179097224101,0.409,0.267,1,"ZNF503"
0.000149215138235002,6.28035421679688,0.148,0,1,"MICOS10"
0.000181923894448816,-1.92218182680173,0.102,0.56,1,"ANKS1A"
0.000182793200466892,-0.568368225107994,0.443,0.853,1,"CFLAR"
0.000195057738481484,-2.02999414053554,0.125,0.547,1,"ZBTB16"
0.000199812678215697,-1.81880536280798,0.102,0.453,1,"PRKCA"
0.000218847778066773,-5.81496594873025,0,0.147,1,"MFN2"
