"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
7.27569283184586e-39,-2.1691077871485,0.442,0.904,1.1962694154121e-34,"MT2A"
6.37926551482643e-33,-2.96350321242791,0.167,0.84,1.04887883594776e-28,"DUSP1"
8.16426400000479e-30,-3.75046033127424,0.093,0.702,1.34236828688079e-25,"APOLD1"
3.84129031550616e-29,-2.78873313400888,0.219,0.777,6.31584953675523e-25,"MT1X"
1.0841652228519e-27,-2.391858909071,0.251,0.819,1.78258445941309e-23,"CEBPD"
6.36122998031414e-27,-2.79222932729362,0.172,0.777,1.04591343336325e-22,"ZFP36"
4.75773462765581e-22,-3.08697484895442,0.153,0.638,7.82266727479168e-18,"MT1M"
5.48258286796665e-22,-1.72445532112481,0.34,0.883,9.01446275151076e-18,"KLF9"
7.12397816746018e-22,-2.42347631346603,0.223,0.713,1.1713244902938e-17,"MT1E"
2.58739293458754e-20,-3.74441353042459,0.051,0.511,4.25419146304884e-16,"EGR1"
7.61713014837979e-18,-1.19993227456706,0.563,0.883,1.2524085389966e-13,"JUND"
4.0928186832587e-17,-2.1629831280464,0.237,0.713,6.72941247901395e-13,"JUN"
6.56106504683907e-17,7.74203600464463,0.34,0,1.07877031500128e-12,"SEPTIN2"
2.01871960411012e-16,-3.94033067795574,0.051,0.447,3.31917877307786e-12,"FOSB"
2.36477416399089e-16,-2.34510450462679,0.191,0.628,3.88816168043381e-12,"AKAP12"
1.61410996168237e-15,7.85789845606778,0.33,0,2.65391959899815e-11,"TLE5"
2.95796785963721e-15,-2.61934267110662,0.13,0.543,4.8634907548155e-11,"HLA-DRB5"
1.5869827427451e-14,2.1611704450193,0.581,0.16,2.60931702562149e-10,"TCIM"
4.77479877643099e-14,-3.5235659525594,0.042,0.394,7.85072414820783e-10,"F2RL3"
5.42459564397238e-14,7.65637435534518,0.298,0,8.91912015781938e-10,"SEPTIN7"
1.64579674919997e-13,-2.46613185483526,0.153,0.564,2.70601901503459e-09,"FOS"
1.76701299795685e-13,-8.7583032274104,0,0.234,2.90532277124065e-09,"MT1A"
2.1674719181696e-13,-1.83552483127553,0.256,0.691,3.56375732785445e-09,"JUNB"
6.07582236332564e-13,4.72657318364254,0.344,0.021,9.98986712978001e-09,"RNASEK"
6.26608797937934e-13,-4.22568685278297,0.023,0.33,1.03027018556955e-08,"CSRNP1"
1.06974266458034e-12,-2.48697936576816,0.098,0.489,1.758870889103e-08,"FKBP5"
2.1545264882945e-12,-3.60331236845041,0.037,0.351,3.54247245205381e-08,"NR4A1"
5.28539476575842e-12,-2.00702924687445,0.177,0.585,8.69024607385999e-08,"FAM107A"
1.42977977937956e-11,-2.46363285758339,0.102,0.468,2.35084391325587e-07,"CEBPB"
1.81095950781994e-11,-4.56600622860344,0.005,0.223,2.97757962275755e-07,"MAFF"
1.92708496772213e-11,-1.82433450349083,0.223,0.574,3.16851310392872e-07,"CA4"
2.03779996409081e-11,-0.46403516173823,0.884,0.968,3.35055070095812e-07,"TPT1"
2.37999689301633e-11,-4.68131805632432,0.019,0.277,3.91319089149744e-07,"ATF3"
3.17842839389098e-11,-0.394218797304941,0.54,0.447,5.22597196523555e-07,"CAVIN2"
5.46434046078834e-11,-2.3276633506028,0.144,0.479,8.98446858562819e-07,"SOCS3"
7.17496647734229e-11,7.01681920183609,0.228,0,1.17970798820462e-06,"ATP6V0C"
1.50648768342656e-10,4.3121335819684,0.288,0.021,2.47696704908996e-06,"EEF1G"
1.50656679901693e-10,1.02289587800027,0.847,0.532,2.47709713094364e-06,"SOX18"
2.62702507403533e-10,7.14476043012078,0.214,0,4.31935462672889e-06,"GASK1B"
3.29573080340985e-10,-1.57645997017501,0.279,0.606,5.41884058696647e-06,"MCL1"
3.58565008674672e-10,-1.63681215016845,0.242,0.606,5.89552587262896e-06,"TSC22D1"
1.5523472227027e-09,6.88642662758756,0.209,0,2.55236930356777e-05,"MICOS13"
1.69679154813605e-09,6.86126624740031,0.2,0,2.78986466344529e-05,"MICOS10"
3.47472272944181e-09,6.61280717303645,0.186,0,5.71313911174823e-05,"RO60"
4.14304492412747e-09,-4.10391643811844,0.009,0.213,6.81199446425038e-05,"SIK1"
4.6821505846414e-09,-2.15721927456684,0.107,0.426,7.69839199126739e-05,"PER1"
7.88304356898e-09,-2.18448263744906,0.126,0.447,0.000129613002361169,"ITPRIP"
8.53836912603905e-09,-4.56435742407906,0.014,0.234,0.000140387865170334,"CDKN1A"
9.38234414175312e-09,6.6728375456118,0.191,0,0.000154264502378705,"TRAPPC5"
1.49173379687388e-08,-1.2884704411127,0.33,0.649,0.000245270870882004,"TSC22D3"
1.78227813617399e-08,-1.0029387894621,0.502,0.819,0.000293042171149728,"LIFR"
1.94667879502162e-08,-0.678839182876499,0.693,0.894,0.000320072927477454,"HYAL2"
2.09281213393195e-08,-0.9836463627347,0.512,0.66,0.000344100171061092,"IER2"
2.80684607331102e-08,1.71444395210088,0.465,0.17,0.000461501631373798,"RPL17"
3.04891959431686e-08,6.60046948920443,0.172,0,0.000501303359697579,"TOMM6"
3.44727661851115e-08,-2.08836646939833,0.135,0.436,0.000566801221615604,"RNF115"
3.60195864722627e-08,-1.68473431925679,0.158,0.479,0.000592234040776944,"SERTAD1"
4.45010831452233e-08,-0.672163256345354,0.698,0.915,0.000731686809073762,"SEC14L1"
4.5794837666541e-08,-1.80419068244469,0.195,0.489,0.000752958720913266,"SPRY1"
